req,res
우리 옛날에 구피 키웠던거 기억해?,당연하지 구피 엄청 많았잖아
맞아 다이소 밥이라고 안좋다고 죽은거라고 했는데 추워서 죽은거였어...,맞아 그래서 내가 비싼 밥으로 바꿔줬는데도 죽어ㅠㅠ
근데 구피 번식력 엄청 나잖아,맞아 나 구피새끼 낳는 것도 봤어
그러게 어때?,그냥 지나가다가 분리해논 어미 구피 봤는데 뿅하고 엉덩이에서 새끼 나오던데?
너네 햄스터 좋아해?,아 이게 좀 그런게 방가방가 햄스터 애니메이션은 귀엽게 나오는데 실제는 좀 징그러워ㅠㅠ
나도 햄스터 별로인데 좋아하는 사람들 많더라,맞아 그래서 햄스터 키우는 사람도 많아
나도 그거 봤어 물레방아 진짜 돌리더라,햄스터 엄청 잘돌려 ㅋㅋ/그리고 해바라기씨 먹잖아
ㅋㅋ 진짜 만화처럼 햄스터 처럼 먹어?,내가 본 결과 진짜 야금야금 먹어
돈 걱정이 없다면 어떤 집이 드림하우스야?,돈이 아무리 많아도 난 2인 기준 14평 짜리 집에서 살고 싶어.
나는 너무 큰 집은 무섭고 볕이 잘 들고 마당이 넓었으면 좋겠어.,사실 집에서는 크게 활동 하지 않은 편이라서 크기가 중요 하진 않아.
황토로 지은 집도 꿈꿔보곤 해. 운치 있잖아.,누군가 와서 마당에서 바베큐도 하고 강아지도 함께 뛰놀 공간이면 충분해.
집안을 더럽게 쓰는거 우울증과 관련이 있을까?,보이는게 지저분하면 다소 우울해지지 않을까?
어떤 사람보니까 쓰레기를 집안 가득가득 모으고 버리질 못하더라구.,시간을 내서 한번 정리해 보면 괜찮지 않을까?
집청소 전문가들 얘기 들어 보면 청소하면 또 얼마 지나지 않아 똑같이 쌓인대.,사람의 습관이 무서운거 같아 다시 돌아가잖아.
집청소 전문가도 꽤 보수가 높은 직업이라고 하더라.,처음부터 치우는 것에 대한 관념이 부족한 사람도 있다고 해.
집테크가 한참 유행할때 해보지도 못해서 좀 억울한데 어떻게 생각해?,그러게 너무 빨리 지나쳐서 서운해.
그래 이젠 확실히 늦은감이 있어서 더 아쉬워,정말 확실하게 돈을 벌 수 있는 기회였는데 놓쳐서 아쉬워.
정말 안오를줄 알았던 집값은 아직도 오르더라,이제는 집테크 말고 주식테크가 열풍이라고 하는데 그걸 배울까 싶어.
이제라도 해야하나 싶기도 하고 말이야,그렇고 보면 언론이 참으로 부정확한 거 같아.
"너네 필라테스 해봤어?, 체형교정 해주는 그거",아니 나는 첨들어봐
"나도 엊그제 해봤는데 장난 아니야, 효과가 바로 나타나",그렇구나 좋은 운동인가보네
필라테스는 어떻게 유래되었을까?,나 아는 선생님도 그거 하신 것 같은데 그룹 하다가 쫓겨났대
너는 택시를 언제 혼자 타게 되었어?,"음, 대학교 다닐 때 인 것 같아./학교 다니면서 종종 이용 했어."
나는 그 전 까지는 비용 때문에 안 타다가 직장 다니기 시작한 때부터 택시를 이용하게 됐어.,"나도 기본 요금 거리 정도만 이용하지, 먼거리를 이용하기는 부담스럽더라."
직장 다니면서 야근을 하다보니 자연스럽게 탈 수 밖에 없더라고.,"아이고, 돈이 많이 들었겠네."
그래도 영수증 제출하면 비용 처리해주시니까 열심히 타고 다녔지.,다행이네. 밤 늦게 택시는 어떻게 잡았어?
너무 늦어서 택시가 잘 안잡혀서 항상 카카오택시로 호출해서 겨우 타고 그랬지 뭐.,택시 호출 어플리케이션이 나와서 다행이네./택시 이용할 때 편한 것 같아.
햄스터는 지금 키워도 되지 않아?,아 그러고 싶은데 엄마가 털 달린 동물은 우리로 족하대
아앗 머리 검은 짐승 2마리면 충분하구나!,맞아 엄마가 손사레 쳐 ㅋㅋ/이런
그러면 한 번도 반려동물 키워본 적이 없는 거야?,음 그건 아닌데 많이 키워 봤어/다 분양 보냈지
무슨 종류의 동물을 키워 봤어?,병아리 고슴도치 새 강아지 물고기 뭐 이 정도?...
고슴도치는 언제 키웠었어?,"아빠가 산에서 잡아 왔어 우리 도치,"
고슴도치가 야생에서도 사는 동물이야?,그러게 있더라고/근데 일주일 만에 다시 풀어 줬어
야생성이 너무 강해서 그랬어?,똥 냄새가 너무 나서 ㅋㅋ
헐 고슴도치 똥 냄새가 그렇게 심해?,똥구린내 장난 아니야 ㅋㅋ
너 올해 여름에 어디 갔다고 했지?,나 가평 빠지 갔어 ㅋㅋ
헐 요즘에 다들 빠지에 빠졌네~,웨이크 보드 타는 거 그렇게 재밌더라/빠지 가봤어?
목욕탕이 최고야.,아 그래? 그럼 수영장도 싫어해?
응 나는 고인 물을 별로 안 좋아해.,어 그래? 되게 신선한 경험이었는데
웨이크 보드는 어떻게 타는 거야?,모터 보트에 고정 시켜서 보드 위를 중심 잡기? 하는 거야
