req,res
언니 명랑 핫도그 먹어 봤어?,웅 먹은 지 한참 됐어
나 오늘 먹었는데 진짜 존맛 ㅜ,나도 오랜만에 먹고 싶다/어디서?
나 포장해 와서 집에서 먹었음!,누구랑 먹었어/일 안 했어?
나 퇴근하고 포장해 왔지!,ㅋㅋ 요새 없어진 거 같던데 나도 찾아봐야지
언니 지금 논산에 있나?,아니/나 대전 온 지 한참이야 ㅡㅡ!
대전에는 명량핫도그 집 많지 않아?,근데 요새 좀 없어지는 추세 아니었음 ?
여기 지금 떡볶이 출시했잖아 난리야!,떡볶이도 한다고 ?/떡볶이도 먹음?
떡볶이는 역시 엽떡이지~,ㅋㅋ 나도 먹어봐야지/나 씻고 온다
언니 지금 자취하고 있어?,웅 자취비 장난 아님
"나도 지금 서울살이하고 있잖아,",거기 보증금이랑 월세 얼마야?
얼마게?,얼만데/그래도 거기 기본이 비싸자나
여기 보증금 100에 월세 38만 원이야!,어딘데/왜 이렇게 싸?
여기 주변 맨날 공사해 허허,원룸이야?/신축?/대전보다 좋은데?
여기 2003년도에 완공이던데?,와 깨끗해?/나중에 놀러갈래
여기 완전 코딱지만 해서 오면 안 돼!,그래도 그 정도면 서울에서 살만 할듯 ㅋㅋ
"ㅋㅋ 진짜 나 혼자 살기 딱 좋아,",나도 이사 갈래/나 퇴근/가서 연락함
언니는 차 멀미 안 해?,나 멀미는 없더라/너 있어?
"우엑,",그거 약 먹어도 소용없다며/힘들지
나는 5천 원 짜리 약 먹어!,그거 먹으면 멀쩡함?/괜찮아?
ㅋㅋ 어 근데 좀 졸리더라!,자는 게 낫지 토하는 거 보다
창문쪽 아니면 나 버스 아예 못 타!,와 그럼 본집 갈 때 뭐 타?
"근데 그 약이 없으면 죽어,",ㅋㅋ 멀미도 스트레스 많이 받는다던데
운전하면 멀미 안 하잖아!,ㅋㅋ 우와/운전하면 멀미 안 해?
그래서 멀미하는 사람들이 운전하잖아!,대박 ㅋㅋ/첨 들음/신기해/담에 너가 운전해
언니 지금 회사에서 어떤 일 하고 있어?,나 코디하자나/스트레스 장난 아님
그것도 서비스업이지!?,서비스업이지 ㅜㅜ/짜증나 진짜 오늘도...
진상 있었어?,진상은 항상 있지/너넨 괜찮아?
헐 ㅜㅜ 나는 일이 진상이다 증말!,ㅋㅋ 그래도 사무직이 편하지 않아?
"어 근데 위에서는 내가 몸이 3개인 줄 아나 봐,",ㅋㅋ 그건 여기도 마찬가지야/돈 벌자...
언니 주말에는 쉬어?,우리 일요일만 쉬자나/근데 주 오일제
"헐, 그러면 이번주는 언제 쉬어!?",이번주 목요일 일요일 ㅋㅋ/너넨?
일요일에 같이 만날래?,일요일 좋다/그때 같이 보자
언니 남동생이나 오빠 있엉?,아니/나 외동 ㅋㅋ 왜?
나는 언니 한 명 있는데 남친이 군인이야!,응? 군인 왜 만나... 왜
완전 운명이지 않아?,태국?/와 대박 신기하다...
근데 지금은 언니 완전 스트레스 받고 있어!,왜? 직업군인인 거지? 왜 ㅋㅋ
만나는 것도 2달에 한 번씩 만나!,ㅋㅋ 바쁘대?/와... 얼마나 만났어
지금 딱 1년인데 만난 건 2달에 한번씩 만났대 ㅋㅋ,결혼할 거 같애?/신기해
아직 어려!,그렇구나 ㅋㅋ/와 연하야?/멋있지
ㅋㅋ 음 멋있는 건 모르겠고 날이 갈수록 늙어가는 건 보임 ㅋㅋ,본 적 있어?/걔네 맬 밖에서 일하자나/나도 남친 구하러 간다
언니 지금 하고 싶은 공부 있엉~?,나 요새 머라도 배우고 싶은데 없다
왜 전에는 어떤 거 배우고 싶었는데?,뭘 해야 될 지 모르겠어/컴퓨터 자격증 따려고 했는데 귀찮아
