req,res
혹시 가족관계증명서 좀 뽑아줄 수 있어?,누구 가족관계증명서가 필요해? 갑자기 왜 필요한거야?
"서류에 첨부해야 하는데, 3개월 이내에 발급 받은 내 명의의 가족관계증명서가 필요하다고 하네","아, 그렇구나. 그런데 가족관계증명서는 본인이랑 부모님 명의로 밖에 못 뽑아"
"아, 그럼 내가 뽑아야하네 급한데 큰 일 났네",언니 인증서 가지고 있는 것 있어?
인증서는 당연히 있지. 은행 업무를 봐야 하는 걸?,그럼 집에서도 정부24 홈페이지에 들어가서 쉽게 출력이 가능해
"오, 요즘은 집에서도 출력이 가능하구나. 굳이 동사무소에 가지 않아도 되겠네","응, 비용도 없고 대기시간도 없어서 집에서 출력하는게 효율적이고 좋은 것 같아"
우리 나라도 반려 동물의 권리를 점점 올려달라는 요구가 늘고 있잖아,"맞아. 예전에는 애완 동물이라고 했는데, 요즘은 반려 동물이라고 말도 바뀌었지"
그만큼 사람들이 자신이 키우는 동물에 대해 가족으로 생각하는 인식이 강해진거지 뭐,"응, 요즘은 아기를 낳지 않고 아기 대신 동물을 키우는 경우도 많다고 하잖아"
그래서인지 길에서 보면 자기 동물을 예뻐 할줄만 알고 남을 배려하지 않는 사람들이 참 많은 거 같아,그러니까 사람들이 입 버릇 처럼 말하잖아 자기 개는 안 문다고
해외의 경우를 보면 반려 동물을 키우는 경우 반드시 반려 동물은 교육을 받게 되어 있잖아,맞아. 그래서 입마개를 한 개가 적어도 무는 개는 한 마리도 못 봤어
우리나라도 앞으로는 교육을 의무화 시켜서 사고를 미연에 방지했으면 좋겠어,나도 찬성해 뉴스에서 물림 사고로 죽거나 크게 다치는 경우가 종종 보이잖아
얼마전에 시리아 주둔 기지에서 미군이 드론 공격을 받았었대,"어머, 그런일이 있었어? 다친 사람은 없었대?"
"응, 다행히 사상자는 없었다고 해",정말 다행이다. 시리아와 여전히 냉담한 사이를 유지하고 있네
"응, 이번 일로 미군에서도 알카에다의 지도자를 사살했다고 하더라고",드론은 요즘 택배나 배송 관련 업계에서 미래 수단으로 각광 받고 있잖아
"맞아, 그런데 무기로도 이용될 수 있다니 좀 섬뜩하다","그러게 말이야, 계속해서 미군과 시리아가 이 기세를 유지한다고 한다면/무고한 희생자는 나오지 않았으면 하는 바람이야"
그렇지. 여러 이념의 차이나 갈등은 있어도 생명이 중요하다는 것은 변함이 없잖아,"응, 최선은 합의를 통해 중간 지점을 찾는 것이라고 생각해./최대한 무기 사용 없이 문제를 해결하면 좋겠다"
우리 가족사진 찍은 지 너무 오래되지 않았어?,"응, 나 초등학교 2학년 때 찍은 게 전부였지"
엄청 오래 됐네. 우리도 가족사진 찍을 때가 된거 아니야?,그런데 우리집에는 사진에 찍히는 거 좋아하는 사람이 없잖아
그래도 엄마는 다른 사람들 프로필 사진에 가족 사진이 있는 걸 좀 부러워하는 눈치던데,그런 것 같긴 하더라. 저번에도 우리 사진 좀 보내달라고 그러더라고
지금 이 순간은 사진으로 밖에 담을 수 없잖아,"맞아, 그리고 나중에 되면 엄청난 보물이 되더라고"
"그럼 꼭 찍어야겠네, 이번에 사진 찍으면서 다른 추억도 같이 쌓으면 더 좋겠다",그렇네. 그날 하루 가족끼리 오붓한 시간을 보내면 좋을 것 같아
남자친구가 때때로 잠수를 타서 너무 답답해,연락을 자주 주고 받는 편이야?
"아니, 하루에 많아 봤자 하루에 카톡 15개 정도 하고, 전화도 아예 안 해",그렇게 적게 연락해? 그런데도 잠수를 탄단 말이야?
"응, 연락이 하루 정도 안되는 건 몸이 피곤해서 그런가 싶은데 말이야",참을성도 좋아 하루 동안 연락이 안되면 불안하지 않아?
그런데 하루가 넘어가면 신변에 이상이 있을까봐 좀 걱정이 되네,요즘 세상도 흉흉한데 말이야 친구도 답장이 오래 없으면 불안하지
