req,res
북한 교육제도에 대해 알아봤는데 학교 명칭부터 다르더라,나도 들어봤어 초등학교를 소학교라 부르던데
"사회라는 과목도 존재하지 않고, 도덕은 사회주의 도덕이라 부른대",와 남한이랑 많이 다르네
대학교는 김일성종합대학이 최고의 학교인가봐,"고등학교는 수학,물리 비중이 높다며"
그러게 소수도 씨수라고 부른다더라,북한 교육이랑 남한교육이랑 정말 다르게 많다
운전하다보면 버스 가끔 타도 멀미나는 거 같아,맞아 나도 그랬었어
근데 버스만 계속 타면 멀미나는지 모르겠더라,그렇긴하지 그래도 버스만 계속 타고 다닐순 없잖아
근데 신기한데 기차 타면 멀미 안하더라,맞아 운전 계속 하다가 기차 타면 멀미 안해 ㅋㅋ
근데 왜 버스만 멀미할까?,그러게 폐쇄된 공간에 사람이 많아서 인가?
그럴수도 있겠네! 오랜만에 버스탔더니 힘들어ㅠㅠ,그럼 오늘 푹쉬어!
어젯밤에 맛있는 거 먹고 잤어?,어제 떡볶이 타임이었어요 ㅋㅋ/주 1회에 한 번 먹는 떡볶이/언닌 뭐 먹었어요? 저녁에
무슨 떡볶이 먹은 거야?,저는 어제 감탄 떡볶이요./먹어본 적 있어요?
새로 생긴 프렌차이즈야?,원래는 아딸이었어요/감탄으로 바꿨다고 하더라고요/언니는 떡볶이 좋아해요?
주로 체인점에서 사 먹어?,네 주변에 개인 떡볶이 집이 있어요/떡볶이랑은 뭐랑 같이  먹는 거 좋아해요?
넌 떡파야?,네 저는 강경 밀떡파입니다./언니는 쌀떡하고 밀떡하고 뭘 더 좋아해요?
아... 나는 쌀떡인데 우리 여기까지인가 봐.,저희는 정말 같이 갈 수 없는 사이인가 봐요./안타깝네요.
우리는 같이 분식을 먹으러 갈 수가 없어.,안타깝네요./즉석떡볶이 좋아하세요?
다음에 같이 먹으러 가자.,좋아요/다음에 밀떡도 쌀떡도 좋으니까 같이 먹으러 가요
요즘 아침마다 집에 매미가 붙어서 노래 부르는데 환장하겠어.,와 진짜 생각보다 그 소리 크던데.../방충망에 붙어있는 거예요?
응. 아니 우리 집 15층인데 매미가 어떻게 기어올라 온 건지... 너네 집은 어때?,저희 집은 3층인데 매미 소리가 크게 들리진 않아요./주변에 나무가 없어서 그런가 근데 어제 나방은 들어왔어요...ㅠ
세상에... 집에 방충망 없었어?,있는데 대체 어디로 들어온 건지.../동생이 그나마 덜 무서워해서 잡아줬어요./저는 그래서 정말 고층에서 살아보고 싶어요. 한 25층 이상 ㅋㅋ
매매로 사구 싶다!,매매 좋죠./언제 쯤 제 집을 마련하게 될까요/아무래도 마련하게 돼도 거의 은행집이겠죠? ㅋㅋ
아직 집을 사도 괜찮은 거 같아?,이사 다니는 거 힘들어서 집 있었으면 좋겠어요./하지만 아직 상황이 안 돼서 힘들어요 ㅠㅠ/언니는 언제 집 매매 계획 있으세요?
집 사기에는 요즘 금액이 너무 많이 오르지 않았어?,그렇죠? 근데 앞으로도 떨어질 일은 별로 없다고 봐서... 어쩔지 모르겠어요/저는 부알못이기도 하고요./언니는 어떻게 보세요?
저는 집 살 계획이 있는 거야?,지금은 말고 나중에는요? ㅋㅋ/근데 서울 너무 비싸서 경기권으로 알아보게 될 것 같아요/막상 집을 사게 되면
마음에 쏙 드는 집 구하길 바랄게~,넵넵 다음에 또 얘기해요~
대학생 때 직장 생활에 대한 로망 있었어?,음 돈 버는 멋진 사람인 느낌?/사실 어렸을 때부터 일하는 거에 대한 막연한 두려움이 있었어요./언니는 무슨 로망이 있었어요?
월급 받고 사고 싶은 거 다 사는 로망이 있었는데 그렇지는 않더라구.,그죠. 로망이랑 현실은 확실히 다른 것 같아요. ㅠㅠ/언니는 지금까지 어떤 알바를 해봤어요?
문구점 알바 했었던 게 생각나는데 너는 제일 처음 한 알바는 뭐였어?,첫 알바가 편의점이었어요. 제대로 일한 건/그전엔 단기 아르바이트만 했었어요/언니는 단기로 많이 했어요 장기로 많이 했어요?
난 대부분 잠깐잠깐이었는데 문구점은 2년 가까이 했었어.,문구점은 어때요?/일이 어렵지는 않았어요?
문구점에서 파는 간식도 얻어먹을 수 있었고!,오오 좋았겠어요!/저도 편의점 알바할 때는 뭘 공짜로 먹은 건 아니지만 늘 끝날 때 뭐 사 먹으면서 퇴근했었어요 ㅋㅋ
편의점 업무는 어떤 게 있어?,발주한 물품 들어오면 정리하고 청소하고 카운터 업무 보고  저희 로또까지 해서 로또까지 했어요~/혹시 더 편의점에 대해서 궁금한 거 있으세요?
편의점은 도난 사건이 많아서 알바생이 늘 메꿔야 한다던데 그게 진짜야?,음 그런 건 아니고 시재가 비면 채워 넣는다고 들었는데 저희 사장님은 그렇지는 않았어요/아 생각해보니까 민증 검사하는 게 좀 힘들었어요
게다가 진상도 많았을 거 같고 네가 정말 고생이 많았네.,그래도 좋은 경험이었던 것 같아요~
군대 가보고 싶다 생각한 적 있니?,아니요 절대요./규칙적인 생활도 못하고 체력도 안 좋아요/혹시 언니는요?
학생 때 군대 육군 체험 가는 친구가 있어서 살짝 궁금하긴 했었었어.,오 혹시 그럼 여자도 군대에 가야 한다는 얘기에 대해서 어떻게 생각하세요?
현재 징집되면 사람들도 피할 수 없어서 가는 거니까. 너는 어떻게 생각해?,저도 다 가야 한다면 가야겠지라고 생각이 들긴 해요./참 어려운 문제인 것 같아요/요즘 이슈도 되고... 혹시 주변에 독특한 보직으로 군대 간 사람 있었어요?
독특한 보직이 뭐가 있니?,음... 트럼펫?/전에 들은 건데 유해발굴감식단이란 게 있대요/독특하죠?
전쟁 때 사망하신 분들의 유골을 발견하는 거야?,네 그런 것 같아요./저는 잘 모르지만요./혹시 여자인데 군대 가고 싶어 하는 사람 주변에 있었어요?/저는 제 동생 어렸을 때 꿈이 군인이었어요
동생은 어떤 군인이 되고 싶었대?,그런 건 잘 모르겠고 규칙적인 생활이 좋아서 군인이 되고 싶었대요
지금도 동생은 군인이 꿈이라고 해?,지금은 아니에요/다른 쪽 꿈을 꾸고 있어요./지금은 집 주변에 군대가 있어요 신기하죠 하
군부대가 주변에 있으면 집에 있을 때 군인 자주 보겠다~,네 출퇴근하는 군인들  자주 봐요 ㅋㅋ
어떤 자격증을 가지고 있어?,저는 일본어 자격증하고 공인중개사 자격증을 가지고 있어요./언니는 어떤 자격증이 있으세요?
나도 일본어 자격증이 있고 속기 자격증이 있어.,오 언니 일본어 자격증 있는 건 처음 알게 된 사실이에요/혹시 일본어는 어디서 배우셨어요?
이웃집에 일본인분이 계셨어서 제2 외국어 겸 그때 배우게 됐어.,오 그러셨구나/저는 학원을 통해서 배우게 됐어요/혹시 언니는 공부 과목 학원은 많이 다니신 편이에요?
학원은 생각보다 내 취향이 아니더라구 일본어도 재밌어서 학원 갔는데 두 달 하고 관뒀었어.,저도 학원파는 아니더라고요./언니는 아이들 조기 교육에 대해서 어떻게 생각하세요?
어떻게 다들 부지런하게 그렇게 준비를 할 수 있을까?,저는 아이들 때만 놀고 느끼고 배울 수 있는 게 있는데 그런 걸 놓치고 공부에만 열중할까 봐 좀 걱정되는 게 있긴 해요.
한편으론 그런 교육을 받을 기회가 없는 것도 안타까운 일 중의 하나가 아닐까 싶어.,또 그렇게 들으니까 그렇네요./그런 기회를 가지는 것도 어떻게 보면 축복이겠죠?
결국 교육을 해보고 계속할지 안 할지는 아이의 선택인데 그것만 어른이 강요하는 게 아니면 괜찮지 않을까 난 생각해.,좋은 말이라고 생각해요./강요가 없는 세상이 됐으면 좋겠어요.
너는 자기계발을 위해서 또 어떤 공부를 할 거니?,1 : 어떤 자격증을 가지고 있어?
부모님 중에 어느 분이랑 더 친한 것 같아?,저는 엄마요./아빠와 엄마 중 고르자면요./언니는 어떠세요?
난 어릴 적에는 엄마였던 거 같은데 크면서 아빠랑 더 친해지게 됐어.,아빠랑 저는 사이가 안 좋아서 아빠랑 친한 느낌이 어떤 건지 궁금해요./혹시 아빠랑 좋은 추억 있으세요? 간단하게라도...
